DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EU27_2020,2021,924.81,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,EU27_2020,2022,631.96,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FI,2013,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FI,2014,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FI,2015,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FI,2016,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FI,2017,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FI,2018,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FI,2019,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FI,2020,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FI,2021,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FI,2022,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FI,2023,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FI,2024,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FR,2013,0.53,e
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FR,2014,0.27,e
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FR,2015,0.51,e
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FR,2016,0.29,e
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FR,2017,0.19,e
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FR,2018,0.48,e
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FR,2019,0.40,e
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FR,2020,0.71,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FR,2021,0.84,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,FR,2022,0.50,e
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,HR,2013,0.00,n
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,HR,2014,0.00,n
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,HR,2015,0.00,n
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,HR,2016,0.00,n
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,HR,2017,0.00,n
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,HR,2018,0.00,n
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,HR,2019,0.00,n
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,HR,2020,0.00,n
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,HR,2021,0.00,n
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,HR,2022,0.00,n
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,HR,2023,0.00,n
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,HR,2024,0.00,n
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,HU,2013,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,HU,2014,0.00,n
